ID;Cash;Tips;Corporativos;MBS;Equity;Emergentes
2011-06-21;116.964;135.1402;464.75;1773.377;2198.15;280.72
2011-06-22;116.965;135.1057;464.725;1775.26;2184.03;280.61
2011-06-23;116.964;135.0466;465.377;1778.769;2177.85;280.6
2011-06-24;116.961;135.0929;465.853;1778.614;2152.31;280.56
2011-06-27;116.965;135.0634;465.196;1776.52;2172.08;280.32
2011-06-28;116.965;134.8287;463.651;1772.286;2200.68;280.01
2011-06-29;116.966;135.1484;463.528;1771.973;2219.2;280.36
2011-06-30;116.965;135.0932;463.372;1771.517;2241.66;280.86
2011-07-01;116.961;135.0098;463.136;1770.153;2274.26;280.98
2011-07-04;116.965;;463.293;1770.173;;281.15
2011-07-05;116.965;135.3449;464.195;1773.321;2271.29;281.67
2011-07-06;116.965;135.5102;464.587;1773.113;2274.42;281.89
2011-07-07;116.964;135.4764;463.712;1768.693;2298.31;282.02
2011-07-08;116.963;135.7829;465.445;1776.535;2282.32;282.68
2011-07-11;116.966;136.1039;466.219;1778.622;2241.07;282.99
2011-07-12;116.966;136.2172;466.038;1779.348;2231.15;282.56
2011-07-13;116.967;136.3214;466.263;1780.711;2238.29;282.96
2011-07-14;116.966;136.1442;465.874;1779.952;2223.29;282.7
2011-07-15;116.964;136.3301;466.154;1779.842;2235.65;282.91
2011-07-18;116.967;136.4415;466.18;1778.384;2217.55;282.94
2011-07-19;116.967;136.5039;465.9;1778.765;2253.71;283.05
2011-07-20;116.967;136.3706;465.701;1778.763;2252.52;283.0
2011-07-21;116.966;136.2783;465.109;1777.329;2283.23;282.95
2011-07-22;116.962;136.3721;465.541;1779.927;2285.34;283.62
2011-07-25;116.965;136.5071;465.435;1777.94;2272.47;283.52
2011-07-26;116.963;136.4557;465.971;1780.224;2263.15;283.95
2011-07-27;116.962;136.4551;465.444;1776.672;2217.29;284.21
2011-07-28;116.96;136.6467;465.91;1779.983;2210.33;284.77
2011-07-29;116.955;137.0454;467.305;1787.008;2196.08;285.82
2011-07-31;116.958;;467.358;1787.021;;285.88
2011-08-01;116.96;137.1234;467.558;1790.645;2187.0;286.65
2011-08-02;116.97;137.159;468.252;1795.803;2131.1;287.59
2011-08-03;116.976;136.5974;467.893;1796.864;2142.56;287.57
2011-08-04;116.977;136.3319;468.475;1801.505;2040.2;287.55
2011-08-05;116.973;135.9686;467.32;1795.839;2039.04;285.62
2011-08-08;116.975;136.0384;466.64;1798.848;1903.47;283.85
2011-08-09;116.975;136.4749;467.497;1809.219;1993.76;283.17
2011-08-10;116.975;137.2083;466.841;1819.778;1906.53;283.64
2011-08-11;116.975;136.7584;465.182;1815.432;1995.14;280.91
2011-08-12;116.973;136.6135;465.534;1819.568;2005.67;281.81
2011-08-15;116.976;136.3779;465.186;1817.765;2049.51;282.43
2011-08-16;116.976;136.254;465.654;1818.465;2029.92;283.39
